iter	Logloss
0	0.6175138249
1	0.5536730017
2	0.5117546778
3	0.4708777165
4	0.4387214065
5	0.4133571553
6	0.3915585689
7	0.3740950042
8	0.3599275335
9	0.3490295181
10	0.3391480063
11	0.3305305535
12	0.3243000816
13	0.318835333
14	0.3140527883
15	0.3109644327
16	0.3077999959
17	0.3049837205
18	0.302928351
19	0.3007812093
20	0.2990373914
21	0.2976480563
22	0.2966415084
23	0.2953640799
24	0.2943919299
25	0.2933465629
26	0.2925733349
27	0.2919342073
28	0.2916079031
29	0.2910601003
30	0.2906066024
31	0.2900874603
32	0.2896219111
33	0.2891861329
34	0.2888722799
35	0.2885911423
36	0.2883261938
37	0.2880942194
38	0.2878732055
39	0.2876600091
40	0.2874418189
41	0.2873314016
42	0.2871587132
43	0.2870228439
44	0.286966242
45	0.2868466373
46	0.2867214373
47	0.2866780548
48	0.2865745101
49	0.2865059838
50	0.2864003114
51	0.2862654799
52	0.2861810566
53	0.2861046982
54	0.2859846459
55	0.2859212314
56	0.2858514283
57	0.2857552493
58	0.2856912113
59	0.2856122944
60	0.285556741
61	0.2854715717
62	0.285433391
63	0.2853977222
64	0.2852979174
65	0.2852420827
66	0.2851575173
67	0.2850894994
68	0.285004448
69	0.2849184501
70	0.2848508226
71	0.2847728749
72	0.28468861
73	0.2846487723
74	0.2845921184
75	0.2845139707
76	0.2844624868
77	0.2844036978
78	0.2843445999
79	0.2842702734
80	0.2841795022
81	0.2841358924
82	0.2840772811
83	0.2840551587
84	0.2839782615
85	0.2839082761
86	0.283852448
87	0.2837940789
88	0.2837615397
89	0.2836974524
90	0.2836422795
91	0.2836084109
92	0.2835482824
93	0.2834862921
94	0.283433902
95	0.2833722279
96	0.283337364
97	0.2832719117
98	0.2832200206
99	0.2831954257
100	0.2831326709
101	0.2830823221
102	0.2830170627
103	0.2829673286
104	0.2829245585
105	0.2828690622
106	0.2827945063
107	0.2827533649
108	0.2827202265
109	0.2826703933
110	0.2826376831
111	0.2825857613
112	0.2825428497
113	0.282484532
114	0.2824633803
115	0.2824301076
116	0.2823681129
117	0.2823224211
118	0.2822876396
119	0.2822402039
120	0.2821843387
121	0.2821815759
122	0.2821366017
123	0.2820816821
124	0.28201921
125	0.2820137514
126	0.2819486762
127	0.2819006434
128	0.2818505037
129	0.2818138476
130	0.2817464327
131	0.2817092816
132	0.2816722708
133	0.281639842
134	0.2815899066
135	0.2815300627
136	0.2814870254
137	0.2814605423
138	0.2814115708
139	0.2813911214
140	0.2813270465
141	0.2812943004
142	0.281280088
143	0.2812245935
144	0.2811772351
145	0.2811345753
146	0.2810785295
147	0.2810403962
148	0.2810056299
149	0.2809689634
150	0.2809302854
151	0.2808753013
152	0.2808493841
153	0.2808058779
154	0.280750527
155	0.2807185558
156	0.2806535669
157	0.2806322969
158	0.2806098622
159	0.280552018
160	0.2804892595
161	0.2804465485
162	0.2803905573
163	0.2803728544
164	0.2803289969
165	0.2802594003
166	0.2802147539
167	0.2801339128
168	0.2800770077
169	0.2800239469
170	0.2799463075
171	0.279879152
172	0.2798127915
173	0.2797544328
174	0.2797162771
175	0.2796521129
176	0.2796111103
177	0.2795778505
178	0.2795439667
179	0.2794840116
180	0.2794306698
181	0.2793607318
182	0.2792826477
183	0.2792400881
184	0.2792113589
185	0.2791621491
186	0.2791120077
187	0.2790736241
188	0.2790460042
189	0.2789898808
190	0.2789417532
191	0.27889517
192	0.2788482163
193	0.2787939988
194	0.2787304495
195	0.2786933151
196	0.2786699995
197	0.2786360126
198	0.2785771106
199	0.278516384
200	0.2784812292
201	0.2784533829
202	0.2784007592
203	0.2783687287
204	0.2783406314
