iter	Passed	Remaining
0	34	25566
1	73	27381
2	99	24604
3	147	27406
4	188	27914
5	221	27340
6	259	27376
7	297	27371
8	336	27507
9	363	26743
10	405	27083
11	448	27376
12	481	27129
13	520	27178
14	561	27310
15	590	26908
16	631	27056
17	672	27163
18	700	26782
19	741	26893
20	776	26767
21	806	26496
22	833	26163
23	873	26244
24	913	26321
25	953	26368
26	992	26398
27	1034	26487
28	1056	26096
29	1097	26157
30	1138	26212
31	1178	26267
32	1220	26329
33	1259	26342
34	1290	26179
35	1330	26203
36	1371	26237
37	1412	26271
38	1452	26299
39	1492	26306
40	1536	26381
41	1574	26350
42	1614	26365
43	1654	26354
44	1676	26077
45	1716	26085
46	1756	26083
47	1785	25928
48	1826	25937
49	1864	25915
50	1904	25917
51	1944	25916
52	1984	25914
53	2026	25927
54	2065	25910
55	2104	25888
56	2143	25876
57	2184	25875
58	2225	25873
59	2264	25855
60	2305	25848
61	2346	25844
62	2385	25822
63	2425	25813
64	2467	25813
65	2506	25787
66	2548	25793
67	2589	25779
68	2630	25767
69	2671	25756
70	2710	25729
71	2752	25730
72	2795	25734
73	2835	25714
74	2876	25693
75	2917	25685
76	2958	25662
77	2997	25631
78	3040	25632
79	3081	25617
80	3123	25605
81	3163	25580
82	3203	25552
83	3241	25505
84	3283	25491
85	3323	25465
86	3364	25444
87	3404	25418
88	3444	25386
89	3485	25367
90	3524	25329
91	3563	25294
92	3604	25269
93	3645	25247
94	3686	25224
95	3726	25192
96	3765	25157
97	3806	25130
98	3847	25107
99	3886	25070
100	3928	25045
101	3968	25015
102	4008	24987
103	4052	24976
104	4092	24944
105	4132	24914
106	4174	24893
107	4214	24856
108	4253	24817
109	4292	24779
110	4331	24740
111	4370	24700
112	4410	24667
113	4451	24638
114	4490	24598
115	4530	24566
116	4572	24542
117	4613	24513
118	4653	24481
119	4694	24448
120	4733	24409
121	4763	24325
122	4803	24291
123	4844	24261
124	4885	24233
125	4911	24129
126	4952	24100
127	4993	24071
128	5032	24032
129	5074	24004
130	5115	23978
131	5155	23940
132	5194	23903
133	5234	23868
134	5276	23842
135	5317	23812
136	5357	23774
137	5395	23734
138	5434	23690
139	5472	23649
140	5514	23623
141	5555	23590
142	5593	23547
143	5632	23507
144	5672	23474
145	5714	23443
146	5755	23414
147	5796	23381
